,State,Year,Categories,Gender,Total
2517,Karnataka,2006,Relation Troubles,Female,826
2518,Karnataka,2006,Relation Troubles,Male,1245
2519,Karnataka,2006,Sickness,Female,1285
2520,Karnataka,2006,Sickness,Male,2145
2521,Karnataka,2007,Causes Not known,Female,722
2522,Karnataka,2007,Causes Not known,Male,2155
2523,Karnataka,2007,Drug Abuse/Addiction,Female,9
2524,Karnataka,2007,Drug Abuse/Addiction,Male,31
2525,Karnataka,2007,Financial issues,Female,154
2526,Karnataka,2007,Financial issues,Male,568
2527,Karnataka,2007,Others Causes,Female,769
2528,Karnataka,2007,Others Causes,Male,1967
2529,Karnataka,2007,Physical Abuse (Rape/Incest Etc.),Female,6
2530,Karnataka,2007,Physical Abuse (Rape/Incest Etc.),Male,10
2531,Karnataka,2007,Pressures of Society,Female,52
2532,Karnataka,2007,Pressures of Society,Male,68
2533,Karnataka,2007,Relation Troubles,Female,990
2534,Karnataka,2007,Relation Troubles,Male,1473
2535,Karnataka,2007,Sickness,Female,1210
2536,Karnataka,2007,Sickness,Male,2120
2537,Karnataka,2008,Causes Not known,Female,680
2538,Karnataka,2008,Causes Not known,Male,1749
2539,Karnataka,2008,Drug Abuse/Addiction,Female,2
2540,Karnataka,2008,Drug Abuse/Addiction,Male,28
2541,Karnataka,2008,Financial issues,Female,123
2542,Karnataka,2008,Financial issues,Male,467
2543,Karnataka,2008,Others Causes,Female,957
2544,Karnataka,2008,Others Causes,Male,2358
2545,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),Female,6
2546,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),Male,13
2547,Karnataka,2008,Pressures of Society,Female,75
2548,Karnataka,2008,Pressures of Society,Male,98
2549,Karnataka,2008,Relation Troubles,Female,964
2550,Karnataka,2008,Relation Troubles,Male,1354
2551,Karnataka,2008,Sickness,Female,1199
2552,Karnataka,2008,Sickness,Male,2149
2553,Karnataka,2009,Causes Not known,Female,960
2554,Karnataka,2009,Causes Not known,Male,2310
2555,Karnataka,2009,Drug Abuse/Addiction,Female,12
2556,Karnataka,2009,Drug Abuse/Addiction,Male,53
2557,Karnataka,2009,Financial issues,Female,131
2558,Karnataka,2009,Financial issues,Male,550
2559,Karnataka,2009,Others Causes,Female,725
2560,Karnataka,2009,Others Causes,Male,1411
2561,Karnataka,2009,Physical Abuse (Rape/Incest Etc.),Female,6
2562,Karnataka,2009,Physical Abuse (Rape/Incest Etc.),Male,8
2563,Karnataka,2009,Pressures of Society,Female,72
2564,Karnataka,2009,Pressures of Society,Male,116
2565,Karnataka,2009,Relation Troubles,Female,952
2566,Karnataka,2009,Relation Troubles,Male,1665
2567,Karnataka,2009,Sickness,Female,1128
2568,Karnataka,2009,Sickness,Male,2096
2569,Karnataka,2010,Causes Not known,Female,725
2570,Karnataka,2010,Causes Not known,Male,1787
2571,Karnataka,2010,Drug Abuse/Addiction,Female,10
2572,Karnataka,2010,Drug Abuse/Addiction,Male,58
2573,Karnataka,2010,Financial issues,Female,92
2574,Karnataka,2010,Financial issues,Male,636
2575,Karnataka,2010,Others Causes,Female,1031
2576,Karnataka,2010,Others Causes,Male,1860
2577,Karnataka,2010,Physical Abuse (Rape/Incest Etc.),Male,1
2578,Karnataka,2010,Pressures of Society,Female,70
2579,Karnataka,2010,Pressures of Society,Male,146
2580,Karnataka,2010,Relation Troubles,Female,999
2581,Karnataka,2010,Relation Troubles,Male,1513
2582,Karnataka,2010,Sickness,Female,1317
2583,Karnataka,2010,Sickness,Male,2406
2584,Karnataka,2011,Causes Not known,Female,702
2585,Karnataka,2011,Causes Not known,Male,1886
2586,Karnataka,2011,Drug Abuse/Addiction,Female,11
2587,Karnataka,2011,Drug Abuse/Addiction,Male,60
2588,Karnataka,2011,Financial issues,Female,108
2589,Karnataka,2011,Financial issues,Male,613
2590,Karnataka,2011,Others Causes,Female,892
2591,Karnataka,2011,Others Causes,Male,1828
2592,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),Female,2
2593,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),Male,8
2594,Karnataka,2011,Pressures of Society,Female,109
2595,Karnataka,2011,Pressures of Society,Male,185
2596,Karnataka,2011,Relation Troubles,Female,1149
2597,Karnataka,2011,Relation Troubles,Male,1923
2598,Karnataka,2011,Sickness,Female,1177
2599,Karnataka,2011,Sickness,Male,1969
2600,Karnataka,2012,Causes Not known,Female,578
2601,Karnataka,2012,Causes Not known,Male,1537
2602,Karnataka,2012,Drug Abuse/Addiction,Female,6
2603,Karnataka,2012,Drug Abuse/Addiction,Male,71
2604,Karnataka,2012,Financial issues,Female,160
2605,Karnataka,2012,Financial issues,Male,644
2606,Karnataka,2012,Others Causes,Female,845
2607,Karnataka,2012,Others Causes,Male,1818
2608,Karnataka,2012,Physical Abuse (Rape/Incest Etc.),Male,2
2609,Karnataka,2012,Pressures of Society,Female,135
2610,Karnataka,2012,Pressures of Society,Male,224
2611,Karnataka,2012,Relation Troubles,Female,1263
2612,Karnataka,2012,Relation Troubles,Male,2147
2613,Karnataka,2012,Sickness,Female,1170
2614,Karnataka,2012,Sickness,Male,2153
2615,Kerala,2001,Causes Not known,Female,240
2616,Kerala,2001,Causes Not known,Male,600
2617,Kerala,2001,Drug Abuse/Addiction,Female,1
2618,Kerala,2001,Drug Abuse/Addiction,Male,82
2619,Kerala,2001,Financial issues,Female,326
2620,Kerala,2001,Financial issues,Male,1574
2621,Kerala,2001,Others Causes,Female,573
2622,Kerala,2001,Others Causes,Male,1353
2623,Kerala,2001,Pressures of Society,Female,83
2624,Kerala,2001,Pressures of Society,Male,91
2625,Kerala,2001,Relation Troubles,Female,782
2626,Kerala,2001,Relation Troubles,Male,1384
2627,Kerala,2001,Sickness,Female,780
2628,Kerala,2001,Sickness,Male,1703
2629,Kerala,2002,Causes Not known,Female,405
2630,Kerala,2002,Causes Not known,Male,1156
2631,Kerala,2002,Drug Abuse/Addiction,Female,1
2632,Kerala,2002,Drug Abuse/Addiction,Male,180
2633,Kerala,2002,Financial issues,Female,155
2634,Kerala,2002,Financial issues,Male,1194
2635,Kerala,2002,Others Causes,Female,389
2636,Kerala,2002,Others Causes,Male,1038
2637,Kerala,2002,Physical Abuse (Rape/Incest Etc.),Female,4
2638,Kerala,2002,Physical Abuse (Rape/Incest Etc.),Male,2
2639,Kerala,2002,Pressures of Society,Female,63
2640,Kerala,2002,Pressures of Society,Male,77
2641,Kerala,2002,Relation Troubles,Female,886
2642,Kerala,2002,Relation Troubles,Male,1744
2643,Kerala,2002,Sickness,Female,742
2644,Kerala,2002,Sickness,Male,1774
2645,Kerala,2003,Causes Not known,Female,343
2646,Kerala,2003,Causes Not known,Male,1000
2647,Kerala,2003,Drug Abuse/Addiction,Female,1
2648,Kerala,2003,Drug Abuse/Addiction,Male,157
2649,Kerala,2003,Financial issues,Female,126
2650,Kerala,2003,Financial issues,Male,1094
2651,Kerala,2003,Others Causes,Female,374
2652,Kerala,2003,Others Causes,Male,1102
2653,Kerala,2003,Pressures of Society,Female,67
2654,Kerala,2003,Pressures of Society,Male,113
2655,Kerala,2003,Relation Troubles,Female,744
2656,Kerala,2003,Relation Troubles,Male,1579
2657,Kerala,2003,Sickness,Female,848
2658,Kerala,2003,Sickness,Male,1890
2659,Kerala,2004,Causes Not known,Female,280
2660,Kerala,2004,Causes Not known,Male,909
2661,Kerala,2004,Drug Abuse/Addiction,Male,80
2662,Kerala,2004,Financial issues,Female,152
2663,Kerala,2004,Financial issues,Male,989
2664,Kerala,2004,Others Causes,Female,398
2665,Kerala,2004,Others Causes,Male,995
2666,Kerala,2004,Physical Abuse (Rape/Incest Etc.),Female,3
2667,Kerala,2004,Pressures of Society,Female,44
2668,Kerala,2004,Pressures of Society,Male,43
2669,Kerala,2004,Relation Troubles,Female,724
2670,Kerala,2004,Relation Troubles,Male,1615
2671,Kerala,2004,Sickness,Female,854
2672,Kerala,2004,Sickness,Male,1967
2673,Kerala,2005,Causes Not known,Female,200
2674,Kerala,2005,Causes Not known,Male,652
2675,Kerala,2005,Drug Abuse/Addiction,Male,63
2676,Kerala,2005,Financial issues,Female,114
2677,Kerala,2005,Financial issues,Male,911
2678,Kerala,2005,Others Causes,Female,327
2679,Kerala,2005,Others Causes,Male,1084
2680,Kerala,2005,Physical Abuse (Rape/Incest Etc.),Female,1
2681,Kerala,2005,Pressures of Society,Female,63
2682,Kerala,2005,Pressures of Society,Male,130
2683,Kerala,2005,Relation Troubles,Female,831
2684,Kerala,2005,Relation Troubles,Male,2127
2685,Kerala,2005,Sickness,Female,878
2686,Kerala,2005,Sickness,Male,1863
2687,Kerala,2006,Causes Not known,Female,144
2688,Kerala,2006,Causes Not known,Male,468
2689,Kerala,2006,Drug Abuse/Addiction,Female,6
2690,Kerala,2006,Drug Abuse/Addiction,Male,111
2691,Kerala,2006,Financial issues,Female,100
2692,Kerala,2006,Financial issues,Male,768
2693,Kerala,2006,Others Causes,Female,166
2694,Kerala,2006,Others Causes,Male,553
2695,Kerala,2006,Physical Abuse (Rape/Incest Etc.),Female,4
2696,Kerala,2006,Physical Abuse (Rape/Incest Etc.),Male,7
2697,Kerala,2006,Pressures of Society,Female,65
2698,Kerala,2006,Pressures of Society,Male,75
2699,Kerala,2006,Relation Troubles,Female,1076
2700,Kerala,2006,Relation Troubles,Male,2609
2701,Kerala,2006,Sickness,Female,882
2702,Kerala,2006,Sickness,Male,1992
2703,Kerala,2007,Causes Not known,Female,208
2704,Kerala,2007,Causes Not known,Male,598
2705,Kerala,2007,Drug Abuse/Addiction,Female,1
2706,Kerala,2007,Drug Abuse/Addiction,Male,136
2707,Kerala,2007,Financial issues,Female,91
2708,Kerala,2007,Financial issues,Male,761
2709,Kerala,2007,Others Causes,Female,52
2710,Kerala,2007,Others Causes,Male,130
2711,Kerala,2007,Physical Abuse (Rape/Incest Etc.),Female,1
2712,Kerala,2007,Pressures of Society,Female,33
2713,Kerala,2007,Pressures of Society,Male,59
2714,Kerala,2007,Relation Troubles,Female,1116
2715,Kerala,2007,Relation Troubles,Male,2953
2716,Kerala,2007,Sickness,Female,872
2717,Kerala,2007,Sickness,Male,1951
2718,Kerala,2008,Causes Not known,Female,166
2719,Kerala,2008,Causes Not known,Male,435
2720,Kerala,2008,Drug Abuse/Addiction,Male,235
2721,Kerala,2008,Financial issues,Female,77
2722,Kerala,2008,Financial issues,Male,579
2723,Kerala,2008,Others Causes,Female,35
2724,Kerala,2008,Others Causes,Male,102
2725,Kerala,2008,Physical Abuse (Rape/Incest Etc.),Female,2
2726,Kerala,2008,Physical Abuse (Rape/Incest Etc.),Male,1
2727,Kerala,2008,Pressures of Society,Female,39
2728,Kerala,2008,Pressures of Society,Male,57
2729,Kerala,2008,Relation Troubles,Female,1274
2730,Kerala,2008,Relation Troubles,Male,2828
2731,Kerala,2008,Sickness,Female,846
2732,Kerala,2008,Sickness,Male,1893
2733,Kerala,2009,Causes Not known,Female,185
2734,Kerala,2009,Causes Not known,Male,436
2735,Kerala,2009,Drug Abuse/Addiction,Male,260
2736,Kerala,2009,Financial issues,Female,71
2737,Kerala,2009,Financial issues,Male,613
2738,Kerala,2009,Others Causes,Female,55
2739,Kerala,2009,Others Causes,Male,136
2740,Kerala,2009,Physical Abuse (Rape/Incest Etc.),Female,1
2741,Kerala,2009,Pressures of Society,Female,77
2742,Kerala,2009,Pressures of Society,Male,79
2743,Kerala,2009,Relation Troubles,Female,1124
2744,Kerala,2009,Relation Troubles,Male,2756
2745,Kerala,2009,Sickness,Female,920
2746,Kerala,2009,Sickness,Male,2042
2747,Kerala,2010,Causes Not known,Female,171
2748,Kerala,2010,Causes Not known,Male,492
2749,Kerala,2010,Drug Abuse/Addiction,Female,1
2750,Kerala,2010,Drug Abuse/Addiction,Male,288
2751,Kerala,2010,Financial issues,Female,60
2752,Kerala,2010,Financial issues,Male,533
2753,Kerala,2010,Others Causes,Female,101
2754,Kerala,2010,Others Causes,Male,243
2755,Kerala,2010,Physical Abuse (Rape/Incest Etc.),Female,4
2756,Kerala,2010,Pressures of Society,Female,40
2757,Kerala,2010,Pressures of Society,Male,70
2758,Kerala,2010,Relation Troubles,Female,1112
2759,Kerala,2010,Relation Troubles,Male,2853
2760,Kerala,2010,Sickness,Female,751
2761,Kerala,2010,Sickness,Male,1867
2762,Kerala,2011,Causes Not known,Female,225
2763,Kerala,2011,Causes Not known,Male,609
2764,Kerala,2011,Drug Abuse/Addiction,Male,235
2765,Kerala,2011,Financial issues,Female,61
2766,Kerala,2011,Financial issues,Male,399
2767,Kerala,2011,Others Causes,Female,94
2768,Kerala,2011,Others Causes,Male,333
2769,Kerala,2011,Pressures of Society,Female,35
2770,Kerala,2011,Pressures of Society,Male,43
2771,Kerala,2011,Relation Troubles,Female,1116
2772,Kerala,2011,Relation Troubles,Male,2951
2773,Kerala,2011,Sickness,Female,688
2774,Kerala,2011,Sickness,Male,1642
2775,Kerala,2012,Causes Not known,Female,276
2776,Kerala,2012,Causes Not known,Male,792
2777,Kerala,2012,Drug Abuse/Addiction,Male,275
2778,Kerala,2012,Financial issues,Female,38
2779,Kerala,2012,Financial issues,Male,346
2780,Kerala,2012,Others Causes,Female,81
2781,Kerala,2012,Others Causes,Male,258
2782,Kerala,2012,Physical Abuse (Rape/Incest Etc.),Female,10
2783,Kerala,2012,Pressures of Society,Female,39
2784,Kerala,2012,Pressures of Society,Male,46
2785,Kerala,2012,Relation Troubles,Female,1040
2786,Kerala,2012,Relation Troubles,Male,3059
2787,Kerala,2012,Sickness,Female,597
2788,Kerala,2012,Sickness,Male,1633
2789,Lakshadweep,2003,Relation Troubles,Female,1
2790,Lakshadweep,2003,Sickness,Male,1
2791,Lakshadweep,2006,Sickness,Female,1
2792,Lakshadweep,2006,Sickness,Male,1
2793,Lakshadweep,2007,Causes Not known,Female,2
2794,Lakshadweep,2007,Causes Not known,Male,1
2795,Lakshadweep,2009,Sickness,Female,1
2796,Lakshadweep,2010,Sickness,Female,1
2797,Lakshadweep,2012,Sickness,Male,1
2798,Madhya Pradesh,2001,Causes Not known,Female,914
2799,Madhya Pradesh,2001,Causes Not known,Male,1279
2800,Madhya Pradesh,2001,Drug Abuse/Addiction,Female,2
2801,Madhya Pradesh,2001,Drug Abuse/Addiction,Male,107
2802,Madhya Pradesh,2001,Financial issues,Female,146
2803,Madhya Pradesh,2001,Financial issues,Male,248
2804,Madhya Pradesh,2001,Others Causes,Female,211
2805,Madhya Pradesh,2001,Others Causes,Male,231
2806,Madhya Pradesh,2001,Physical Abuse (Rape/Incest Etc.),Female,77
2807,Madhya Pradesh,2001,Physical Abuse (Rape/Incest Etc.),Male,31
2808,Madhya Pradesh,2001,Pressures of Society,Female,104
2809,Madhya Pradesh,2001,Pressures of Society,Male,121
2810,Madhya Pradesh,2001,Relation Troubles,Female,1468
2811,Madhya Pradesh,2001,Relation Troubles,Male,973
2812,Madhya Pradesh,2001,Sickness,Female,402
2813,Madhya Pradesh,2001,Sickness,Male,546
2814,Madhya Pradesh,2002,Causes Not known,Female,674
2815,Madhya Pradesh,2002,Causes Not known,Male,933
2816,Madhya Pradesh,2002,Drug Abuse/Addiction,Male,107
2817,Madhya Pradesh,2002,Financial issues,Female,141
2818,Madhya Pradesh,2002,Financial issues,Male,357
2819,Madhya Pradesh,2002,Others Causes,Female,192
2820,Madhya Pradesh,2002,Others Causes,Male,264
2821,Madhya Pradesh,2002,Physical Abuse (Rape/Incest Etc.),Female,84
2822,Madhya Pradesh,2002,Physical Abuse (Rape/Incest Etc.),Male,38
2823,Madhya Pradesh,2002,Pressures of Society,Female,90
2824,Madhya Pradesh,2002,Pressures of Society,Male,151
2825,Madhya Pradesh,2002,Relation Troubles,Female,1637
2826,Madhya Pradesh,2002,Relation Troubles,Male,1008
2827,Madhya Pradesh,2002,Sickness,Female,502
2828,Madhya Pradesh,2002,Sickness,Male,721
2829,Madhya Pradesh,2003,Causes Not known,Female,726
2830,Madhya Pradesh,2003,Causes Not known,Male,955
2831,Madhya Pradesh,2003,Drug Abuse/Addiction,Male,116
2832,Madhya Pradesh,2003,Financial issues,Female,139
2833,Madhya Pradesh,2003,Financial issues,Male,388
2834,Madhya Pradesh,2003,Others Causes,Female,124
2835,Madhya Pradesh,2003,Others Causes,Male,173
2836,Madhya Pradesh,2003,Physical Abuse (Rape/Incest Etc.),Female,108
2837,Madhya Pradesh,2003,Physical Abuse (Rape/Incest Etc.),Male,55
2838,Madhya Pradesh,2003,Pressures of Society,Female,105
2839,Madhya Pradesh,2003,Pressures of Society,Male,135
2840,Madhya Pradesh,2003,Relation Troubles,Female,1605
2841,Madhya Pradesh,2003,Relation Troubles,Male,1008
2842,Madhya Pradesh,2003,Sickness,Female,417
2843,Madhya Pradesh,2003,Sickness,Male,708
2844,Madhya Pradesh,2004,Causes Not known,Female,783
2845,Madhya Pradesh,2004,Causes Not known,Male,1172
2846,Madhya Pradesh,2004,Drug Abuse/Addiction,Female,4
2847,Madhya Pradesh,2004,Drug Abuse/Addiction,Male,140
2848,Madhya Pradesh,2004,Financial issues,Female,140
2849,Madhya Pradesh,2004,Financial issues,Male,347
2850,Madhya Pradesh,2004,Others Causes,Female,174
2851,Madhya Pradesh,2004,Others Causes,Male,219
2852,Madhya Pradesh,2004,Physical Abuse (Rape/Incest Etc.),Female,88
2853,Madhya Pradesh,2004,Physical Abuse (Rape/Incest Etc.),Male,26
2854,Madhya Pradesh,2004,Pressures of Society,Female,69
2855,Madhya Pradesh,2004,Pressures of Society,Male,101
2856,Madhya Pradesh,2004,Relation Troubles,Female,1485
2857,Madhya Pradesh,2004,Relation Troubles,Male,879
2858,Madhya Pradesh,2004,Sickness,Female,418
2859,Madhya Pradesh,2004,Sickness,Male,750
2860,Madhya Pradesh,2005,Causes Not known,Female,584
2861,Madhya Pradesh,2005,Causes Not known,Male,894
2862,Madhya Pradesh,2005,Drug Abuse/Addiction,Female,1
2863,Madhya Pradesh,2005,Drug Abuse/Addiction,Male,109
2864,Madhya Pradesh,2005,Financial issues,Female,41
2865,Madhya Pradesh,2005,Financial issues,Male,173
2866,Madhya Pradesh,2005,Others Causes,Female,236
2867,Madhya Pradesh,2005,Others Causes,Male,297
2868,Madhya Pradesh,2005,Physical Abuse (Rape/Incest Etc.),Female,44
2869,Madhya Pradesh,2005,Physical Abuse (Rape/Incest Etc.),Male,11
2870,Madhya Pradesh,2005,Pressures of Society,Female,61
2871,Madhya Pradesh,2005,Pressures of Society,Male,97
2872,Madhya Pradesh,2005,Relation Troubles,Female,1270
2873,Madhya Pradesh,2005,Relation Troubles,Male,650
2874,Madhya Pradesh,2005,Sickness,Female,360
2875,Madhya Pradesh,2005,Sickness,Male,620
2876,Madhya Pradesh,2006,Causes Not known,Female,552
2877,Madhya Pradesh,2006,Causes Not known,Male,971
2878,Madhya Pradesh,2006,Drug Abuse/Addiction,Male,132
2879,Madhya Pradesh,2006,Financial issues,Female,59
2880,Madhya Pradesh,2006,Financial issues,Male,233
2881,Madhya Pradesh,2006,Others Causes,Female,315
2882,Madhya Pradesh,2006,Others Causes,Male,403
2883,Madhya Pradesh,2006,Physical Abuse (Rape/Incest Etc.),Female,71
2884,Madhya Pradesh,2006,Physical Abuse (Rape/Incest Etc.),Male,36
2885,Madhya Pradesh,2006,Pressures of Society,Female,94
2886,Madhya Pradesh,2006,Pressures of Society,Male,183
2887,Madhya Pradesh,2006,Relation Troubles,Female,1401
2888,Madhya Pradesh,2006,Relation Troubles,Male,882
2889,Madhya Pradesh,2006,Sickness,Female,440
2890,Madhya Pradesh,2006,Sickness,Male,663
2891,Madhya Pradesh,2007,Causes Not known,Female,647
2892,Madhya Pradesh,2007,Causes Not known,Male,1103
2893,Madhya Pradesh,2007,Drug Abuse/Addiction,Female,1
2894,Madhya Pradesh,2007,Drug Abuse/Addiction,Male,146
2895,Madhya Pradesh,2007,Financial issues,Female,31
2896,Madhya Pradesh,2007,Financial issues,Male,177
2897,Madhya Pradesh,2007,Others Causes,Female,264
2898,Madhya Pradesh,2007,Others Causes,Male,428
2899,Madhya Pradesh,2007,Physical Abuse (Rape/Incest Etc.),Female,66
2900,Madhya Pradesh,2007,Physical Abuse (Rape/Incest Etc.),Male,33
2901,Madhya Pradesh,2007,Pressures of Society,Female,70
2902,Madhya Pradesh,2007,Pressures of Society,Male,109
2903,Madhya Pradesh,2007,Relation Troubles,Female,1384
2904,Madhya Pradesh,2007,Relation Troubles,Male,848
2905,Madhya Pradesh,2007,Sickness,Female,396
2906,Madhya Pradesh,2007,Sickness,Male,626
2907,Madhya Pradesh,2008,Causes Not known,Female,625
2908,Madhya Pradesh,2008,Causes Not known,Male,1062
2909,Madhya Pradesh,2008,Drug Abuse/Addiction,Female,13
2910,Madhya Pradesh,2008,Drug Abuse/Addiction,Male,300
2911,Madhya Pradesh,2008,Financial issues,Female,49
2912,Madhya Pradesh,2008,Financial issues,Male,465
2913,Madhya Pradesh,2008,Others Causes,Female,85
2914,Madhya Pradesh,2008,Others Causes,Male,199
2915,Madhya Pradesh,2008,Physical Abuse (Rape/Incest Etc.),Female,102
2916,Madhya Pradesh,2008,Physical Abuse (Rape/Incest Etc.),Male,37
2917,Madhya Pradesh,2008,Pressures of Society,Female,133
2918,Madhya Pradesh,2008,Pressures of Society,Male,183
2919,Madhya Pradesh,2008,Relation Troubles,Female,1796
2920,Madhya Pradesh,2008,Relation Troubles,Male,1200
2921,Madhya Pradesh,2008,Sickness,Female,461
2922,Madhya Pradesh,2008,Sickness,Male,919
2923,Madhya Pradesh,2009,Causes Not known,Female,717
2924,Madhya Pradesh,2009,Causes Not known,Male,1263
2925,Madhya Pradesh,2009,Drug Abuse/Addiction,Female,4
2926,Madhya Pradesh,2009,Drug Abuse/Addiction,Male,264
2927,Madhya Pradesh,2009,Financial issues,Female,89
2928,Madhya Pradesh,2009,Financial issues,Male,466
2929,Madhya Pradesh,2009,Others Causes,Female,851
2930,Madhya Pradesh,2009,Others Causes,Male,1062
2931,Madhya Pradesh,2009,Physical Abuse (Rape/Incest Etc.),Female,89
2932,Madhya Pradesh,2009,Physical Abuse (Rape/Incest Etc.),Male,29
2933,Madhya Pradesh,2009,Pressures of Society,Female,117
2934,Madhya Pradesh,2009,Pressures of Society,Male,170
2935,Madhya Pradesh,2009,Relation Troubles,Female,1674
2936,Madhya Pradesh,2009,Relation Troubles,Male,1013
2937,Madhya Pradesh,2009,Sickness,Female,472
2938,Madhya Pradesh,2009,Sickness,Male,833
2939,Madhya Pradesh,2010,Causes Not known,Female,848
2940,Madhya Pradesh,2010,Causes Not known,Male,1315
2941,Madhya Pradesh,2010,Drug Abuse/Addiction,Female,24
2942,Madhya Pradesh,2010,Drug Abuse/Addiction,Male,452
2943,Madhya Pradesh,2010,Financial issues,Female,41
2944,Madhya Pradesh,2010,Financial issues,Male,271
2945,Madhya Pradesh,2010,Others Causes,Female,331
2946,Madhya Pradesh,2010,Others Causes,Male,688
2947,Madhya Pradesh,2010,Physical Abuse (Rape/Incest Etc.),Female,111
2948,Madhya Pradesh,2010,Physical Abuse (Rape/Incest Etc.),Male,43
2949,Madhya Pradesh,2010,Pressures of Society,Female,173
2950,Madhya Pradesh,2010,Pressures of Society,Male,258
2951,Madhya Pradesh,2010,Relation Troubles,Female,1893
2952,Madhya Pradesh,2010,Relation Troubles,Male,1165
2953,Madhya Pradesh,2010,Sickness,Female,495
2954,Madhya Pradesh,2010,Sickness,Male,895
2955,Madhya Pradesh,2011,Causes Not known,Female,837
2956,Madhya Pradesh,2011,Causes Not known,Male,1275
2957,Madhya Pradesh,2011,Drug Abuse/Addiction,Female,28
2958,Madhya Pradesh,2011,Drug Abuse/Addiction,Male,500
2959,Madhya Pradesh,2011,Financial issues,Female,75
2960,Madhya Pradesh,2011,Financial issues,Male,332
2961,Madhya Pradesh,2011,Others Causes,Female,359
2962,Madhya Pradesh,2011,Others Causes,Male,659
2963,Madhya Pradesh,2011,Physical Abuse (Rape/Incest Etc.),Female,121
2964,Madhya Pradesh,2011,Physical Abuse (Rape/Incest Etc.),Male,50
2965,Madhya Pradesh,2011,Pressures of Society,Female,126
2966,Madhya Pradesh,2011,Pressures of Society,Male,137
2967,Madhya Pradesh,2011,Relation Troubles,Female,1803
2968,Madhya Pradesh,2011,Relation Troubles,Male,1120
2969,Madhya Pradesh,2011,Sickness,Female,670
2970,Madhya Pradesh,2011,Sickness,Male,1167
2971,Madhya Pradesh,2012,Causes Not known,Female,647
2972,Madhya Pradesh,2012,Causes Not known,Male,1112
2973,Madhya Pradesh,2012,Drug Abuse/Addiction,Female,9
2974,Madhya Pradesh,2012,Drug Abuse/Addiction,Male,572
2975,Madhya Pradesh,2012,Financial issues,Female,89
2976,Madhya Pradesh,2012,Financial issues,Male,354
2977,Madhya Pradesh,2012,Others Causes,Female,312
2978,Madhya Pradesh,2012,Others Causes,Male,565
2979,Madhya Pradesh,2012,Physical Abuse (Rape/Incest Etc.),Female,74
2980,Madhya Pradesh,2012,Physical Abuse (Rape/Incest Etc.),Male,12
2981,Madhya Pradesh,2012,Pressures of Society,Female,148
2982,Madhya Pradesh,2012,Pressures of Society,Male,174
2983,Madhya Pradesh,2012,Relation Troubles,Female,2091
2984,Madhya Pradesh,2012,Relation Troubles,Male,1819
2985,Madhya Pradesh,2012,Sickness,Female,631
2986,Madhya Pradesh,2012,Sickness,Male,1166
2987,Maharashtra,2001,Causes Not known,Female,616
2988,Maharashtra,2001,Causes Not known,Male,1355
2989,Maharashtra,2001,Drug Abuse/Addiction,Female,6
2990,Maharashtra,2001,Drug Abuse/Addiction,Male,492
2991,Maharashtra,2001,Financial issues,Female,192
2992,Maharashtra,2001,Financial issues,Male,1174
2993,Maharashtra,2001,Others Causes,Female,48
2994,Maharashtra,2001,Others Causes,Male,103
2995,Maharashtra,2001,Physical Abuse (Rape/Incest Etc.),Female,45
2996,Maharashtra,2001,Physical Abuse (Rape/Incest Etc.),Male,5
2997,Maharashtra,2001,Pressures of Society,Female,132
2998,Maharashtra,2001,Pressures of Society,Male,198
2999,Maharashtra,2001,Relation Troubles,Female,2973
3000,Maharashtra,2001,Relation Troubles,Male,3179
3001,Maharashtra,2001,Sickness,Female,1268
3002,Maharashtra,2001,Sickness,Male,2832
3003,Maharashtra,2002,Causes Not known,Female,398
3004,Maharashtra,2002,Causes Not known,Male,1028
3005,Maharashtra,2002,Drug Abuse/Addiction,Female,8
3006,Maharashtra,2002,Drug Abuse/Addiction,Male,619
3007,Maharashtra,2002,Financial issues,Female,213
3008,Maharashtra,2002,Financial issues,Male,1175
3009,Maharashtra,2002,Others Causes,Female,104
3010,Maharashtra,2002,Others Causes,Male,145
3011,Maharashtra,2002,Physical Abuse (Rape/Incest Etc.),Female,56
3012,Maharashtra,2002,Physical Abuse (Rape/Incest Etc.),Male,20
3013,Maharashtra,2002,Pressures of Society,Female,126
3014,Maharashtra,2002,Pressures of Society,Male,198
3015,Maharashtra,2002,Relation Troubles,Female,2794
3016,Maharashtra,2002,Relation Troubles,Male,3235
3017,Maharashtra,2002,Sickness,Female,1383
3018,Maharashtra,2002,Sickness,Male,3027
3019,Maharashtra,2003,Causes Not known,Female,156
3020,Maharashtra,2003,Causes Not known,Male,336
3021,Maharashtra,2003,Drug Abuse/Addiction,Female,5
3022,Maharashtra,2003,Drug Abuse/Addiction,Male,763
3023,Maharashtra,2003,Financial issues,Female,171
3024,Maharashtra,2003,Financial issues,Male,1375
3025,Maharashtra,2003,Others Causes,Female,72
3026,Maharashtra,2003,Others Causes,Male,255
3027,Maharashtra,2003,Physical Abuse (Rape/Incest Etc.),Female,57
3028,Maharashtra,2003,Physical Abuse (Rape/Incest Etc.),Male,5
3029,Maharashtra,2003,Pressures of Society,Female,152
3030,Maharashtra,2003,Pressures of Society,Male,227
