,State,Year,Type_code,Type,Gender,Age_group,Total,Categories
108710,Karnataka,2002,Causes,Family Problems,Female,0-14,7,Relation Troubles
108711,Karnataka,2002,Causes,Causes Not known,Female,0-14,49,Causes Not known
108712,Karnataka,2002,Causes,Other Causes (Please Specity),Female,0-14,25,Others Causes
108714,Karnataka,2002,Causes,Death of Dear Person,Female,0-14,1,Relation Troubles
108720,Karnataka,2002,Causes,Other Prolonged Illness,Female,0-14,82,Sickness
108722,Karnataka,2002,Causes,Love Affairs,Female,0-14,2,Relation Troubles
108723,Karnataka,2002,Causes,Poverty,Female,0-14,3,Financial issues
108729,Karnataka,2002,Causes,Drug Abuse/Addiction,Female,0-14,5,Drug Abuse/Addiction
108731,Karnataka,2002,Causes,Insanity/Mental Illness,Female,0-14,5,Sickness
108732,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Female,0-14,2,Relation Troubles
108734,Karnataka,2002,Causes,Failure in Examination,Female,0-14,23,Pressures of Society
108736,Karnataka,2002,Causes,Failure in Examination,Male,0-14,15,Pressures of Society
108737,Karnataka,2002,Causes,Other Prolonged Illness,Male,0-14,22,Sickness
108738,Karnataka,2002,Causes,Insanity/Mental Illness,Male,0-14,1,Sickness
108741,Karnataka,2002,Causes,Drug Abuse/Addiction,Male,0-14,2,Drug Abuse/Addiction
108744,Karnataka,2002,Causes,Causes Not known,Male,0-14,34,Causes Not known
108746,Karnataka,2002,Causes,Family Problems,Male,0-14,4,Relation Troubles
108753,Karnataka,2002,Causes,Property Dispute,Male,0-14,3,Financial issues
108756,Karnataka,2002,Causes,Poverty,Male,0-14,5,Financial issues
108757,Karnataka,2002,Causes,Death of Dear Person,Male,0-14,3,Relation Troubles
108758,Karnataka,2002,Causes,Other Causes (Please Specity),Male,0-14,32,Others Causes
108762,Karnataka,2002,Causes,Property Dispute,Female,15-29,2,Financial issues
108763,Karnataka,2002,Causes,Fall in Social Reputation,Female,15-29,5,Pressures of Society
108764,Karnataka,2002,Causes,Unemployment,Female,15-29,15,Financial issues
108765,Karnataka,2002,Causes,Failure in Examination,Female,15-29,64,Pressures of Society
108766,Karnataka,2002,Causes,Professional/Career Problem,Female,15-29,3,Financial issues
108767,Karnataka,2002,Causes,Illness (Aids/STD),Female,15-29,3,Sickness
108768,Karnataka,2002,Causes,Love Affairs,Female,15-29,40,Relation Troubles
108769,Karnataka,2002,Causes,Suspected/Illicit Relation,Female,15-29,6,Relation Troubles
108770,Karnataka,2002,Causes,Drug Abuse/Addiction,Female,15-29,4,Drug Abuse/Addiction
108771,Karnataka,2002,Causes,Illegitimate Pregnancy,Female,15-29,3,Relation Troubles
108772,Karnataka,2002,Causes,Causes Not known,Female,15-29,296,Causes Not known
108773,Karnataka,2002,Causes,Poverty,Female,15-29,40,Financial issues
108774,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Female,15-29,7,Financial issues
108775,Karnataka,2002,Causes,Death of Dear Person,Female,15-29,13,Relation Troubles
108776,Karnataka,2002,Causes,Cancer,Female,15-29,6,Sickness
108777,Karnataka,2002,Causes,Insanity/Mental Illness,Female,15-29,73,Sickness
108778,Karnataka,2002,Causes,Family Problems,Female,15-29,391,Relation Troubles
108779,Karnataka,2002,Causes,Other Causes (Please Specity),Female,15-29,234,Others Causes
108780,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Female,15-29,42,Relation Troubles
108781,Karnataka,2002,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,4,Physical Abuse (Rape/Incest Etc.)
108782,Karnataka,2002,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,32,Relation Troubles
108783,Karnataka,2002,Causes,Other Prolonged Illness,Female,15-29,435,Sickness
108784,Karnataka,2002,Causes,Divorce,Female,15-29,2,Relation Troubles
108786,Karnataka,2002,Causes,Paralysis,Female,15-29,4,Sickness
108787,Karnataka,2002,Causes,Dowry Dispute,Female,15-29,72,Relation Troubles
108788,Karnataka,2002,Causes,Death of Dear Person,Male,15-29,10,Relation Troubles
108791,Karnataka,2002,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,27,Relation Troubles
108792,Karnataka,2002,Causes,Failure in Examination,Male,15-29,92,Pressures of Society
108793,Karnataka,2002,Causes,Paralysis,Male,15-29,7,Sickness
108794,Karnataka,2002,Causes,Other Prolonged Illness,Male,15-29,532,Sickness
108795,Karnataka,2002,Causes,Fall in Social Reputation,Male,15-29,11,Pressures of Society
108796,Karnataka,2002,Causes,Causes Not known,Male,15-29,548,Causes Not known
108797,Karnataka,2002,Causes,Property Dispute,Male,15-29,11,Financial issues
108798,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Male,15-29,5,Relation Troubles
108799,Karnataka,2002,Causes,Unemployment,Male,15-29,70,Financial issues
108800,Karnataka,2002,Causes,Cancer,Male,15-29,7,Sickness
108802,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Male,15-29,47,Financial issues
108803,Karnataka,2002,Causes,Drug Abuse/Addiction,Male,15-29,15,Drug Abuse/Addiction
108804,Karnataka,2002,Causes,Illness (Aids/STD),Male,15-29,7,Sickness
108805,Karnataka,2002,Causes,Other Causes (Please Specity),Male,15-29,363,Others Causes
108806,Karnataka,2002,Causes,Ideological Causes/Hero Worshipping,Male,15-29,8,Pressures of Society
108807,Karnataka,2002,Causes,Poverty,Male,15-29,71,Financial issues
108808,Karnataka,2002,Causes,Love Affairs,Male,15-29,48,Relation Troubles
108810,Karnataka,2002,Causes,Insanity/Mental Illness,Male,15-29,87,Sickness
108811,Karnataka,2002,Causes,Family Problems,Male,15-29,298,Relation Troubles
108812,Karnataka,2002,Causes,Professional/Career Problem,Male,15-29,15,Financial issues
108813,Karnataka,2002,Causes,Suspected/Illicit Relation,Male,15-29,6,Relation Troubles
108814,Karnataka,2002,Causes,Unemployment,Female,30-44,6,Financial issues
108815,Karnataka,2002,Causes,Divorce,Female,30-44,4,Relation Troubles
108816,Karnataka,2002,Causes,Death of Dear Person,Female,30-44,5,Relation Troubles
108818,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Female,30-44,24,Relation Troubles
108819,Karnataka,2002,Causes,Illness (Aids/STD),Female,30-44,2,Sickness
108820,Karnataka,2002,Causes,Dowry Dispute,Female,30-44,26,Relation Troubles
108821,Karnataka,2002,Causes,Illegitimate Pregnancy,Female,30-44,1,Relation Troubles
108822,Karnataka,2002,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,1,Physical Abuse (Rape/Incest Etc.)
108823,Karnataka,2002,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,10,Relation Troubles
108824,Karnataka,2002,Causes,Other Causes (Please Specity),Female,30-44,157,Others Causes
108825,Karnataka,2002,Causes,Poverty,Female,30-44,37,Financial issues
108826,Karnataka,2002,Causes,Professional/Career Problem,Female,30-44,2,Financial issues
108827,Karnataka,2002,Causes,Fall in Social Reputation,Female,30-44,3,Pressures of Society
108828,Karnataka,2002,Causes,Property Dispute,Female,30-44,1,Financial issues
108829,Karnataka,2002,Causes,Family Problems,Female,30-44,326,Relation Troubles
108830,Karnataka,2002,Causes,Causes Not known,Female,30-44,247,Causes Not known
108831,Karnataka,2002,Causes,Suspected/Illicit Relation,Female,30-44,7,Relation Troubles
108832,Karnataka,2002,Causes,Drug Abuse/Addiction,Female,30-44,6,Drug Abuse/Addiction
108833,Karnataka,2002,Causes,Love Affairs,Female,30-44,2,Relation Troubles
108834,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Female,30-44,6,Financial issues
108835,Karnataka,2002,Causes,Other Prolonged Illness,Female,30-44,326,Sickness
108836,Karnataka,2002,Causes,Cancer,Female,30-44,7,Sickness
108837,Karnataka,2002,Causes,Paralysis,Female,30-44,6,Sickness
108838,Karnataka,2002,Causes,Insanity/Mental Illness,Female,30-44,70,Sickness
108840,Karnataka,2002,Causes,Cancer,Male,30-44,18,Sickness
108841,Karnataka,2002,Causes,Insanity/Mental Illness,Male,30-44,134,Sickness
108842,Karnataka,2002,Causes,Causes Not known,Male,30-44,742,Causes Not known
108844,Karnataka,2002,Causes,Illness (Aids/STD),Male,30-44,12,Sickness
108845,Karnataka,2002,Causes,Paralysis,Male,30-44,8,Sickness
108847,Karnataka,2002,Causes,Other Causes (Please Specity),Male,30-44,418,Others Causes
108848,Karnataka,2002,Causes,Fall in Social Reputation,Male,30-44,5,Pressures of Society
108849,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Male,30-44,19,Relation Troubles
108850,Karnataka,2002,Causes,Suspected/Illicit Relation,Male,30-44,11,Relation Troubles
108851,Karnataka,2002,Causes,Unemployment,Male,30-44,58,Financial issues
108852,Karnataka,2002,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,5,Relation Troubles
108853,Karnataka,2002,Causes,Family Problems,Male,30-44,545,Relation Troubles
108854,Karnataka,2002,Causes,Love Affairs,Male,30-44,10,Relation Troubles
108855,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Male,30-44,117,Financial issues
108856,Karnataka,2002,Causes,Other Prolonged Illness,Male,30-44,741,Sickness
108858,Karnataka,2002,Causes,Drug Abuse/Addiction,Male,30-44,24,Drug Abuse/Addiction
108859,Karnataka,2002,Causes,Physical Abuse (Rape/Incest Etc.),Male,30-44,2,Physical Abuse (Rape/Incest Etc.)
108860,Karnataka,2002,Causes,Failure in Examination,Male,30-44,3,Pressures of Society
108862,Karnataka,2002,Causes,Death of Dear Person,Male,30-44,14,Relation Troubles
108863,Karnataka,2002,Causes,Poverty,Male,30-44,110,Financial issues
108864,Karnataka,2002,Causes,Professional/Career Problem,Male,30-44,17,Financial issues
108865,Karnataka,2002,Causes,Property Dispute,Male,30-44,18,Financial issues
108867,Karnataka,2002,Causes,Unemployment,Female,45-59,1,Financial issues
108871,Karnataka,2002,Causes,Causes Not known,Female,45-59,123,Causes Not known
108872,Karnataka,2002,Causes,Fall in Social Reputation,Female,45-59,1,Pressures of Society
108873,Karnataka,2002,Causes,Illness (Aids/STD),Female,45-59,2,Sickness
108874,Karnataka,2002,Causes,Family Problems,Female,45-59,87,Relation Troubles
108875,Karnataka,2002,Causes,Insanity/Mental Illness,Female,45-59,42,Sickness
108877,Karnataka,2002,Causes,Death of Dear Person,Female,45-59,5,Relation Troubles
108879,Karnataka,2002,Causes,Other Causes (Please Specity),Female,45-59,63,Others Causes
108881,Karnataka,2002,Causes,Poverty,Female,45-59,26,Financial issues
108882,Karnataka,2002,Causes,Dowry Dispute,Female,45-59,3,Relation Troubles
108883,Karnataka,2002,Causes,Drug Abuse/Addiction,Female,45-59,4,Drug Abuse/Addiction
108886,Karnataka,2002,Causes,Cancer,Female,45-59,5,Sickness
108888,Karnataka,2002,Causes,Paralysis,Female,45-59,4,Sickness
108889,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Female,45-59,3,Relation Troubles
108890,Karnataka,2002,Causes,Other Prolonged Illness,Female,45-59,199,Sickness
108892,Karnataka,2002,Causes,Cancer,Male,45-59,16,Sickness
108893,Karnataka,2002,Causes,Unemployment,Male,45-59,8,Financial issues
108894,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Male,45-59,47,Financial issues
108895,Karnataka,2002,Causes,Not having Children (Barrenness/Impotency,Male,45-59,4,Relation Troubles
108896,Karnataka,2002,Causes,Illness (Aids/STD),Male,45-59,8,Sickness
108897,Karnataka,2002,Causes,Death of Dear Person,Male,45-59,10,Relation Troubles
108898,Karnataka,2002,Causes,Professional/Career Problem,Male,45-59,13,Financial issues
108900,Karnataka,2002,Causes,Insanity/Mental Illness,Male,45-59,84,Sickness
108902,Karnataka,2002,Causes,Fall in Social Reputation,Male,45-59,9,Pressures of Society
108903,Karnataka,2002,Causes,Suspected/Illicit Relation,Male,45-59,4,Relation Troubles
108905,Karnataka,2002,Causes,Poverty,Male,45-59,85,Financial issues
108906,Karnataka,2002,Causes,Causes Not known,Male,45-59,453,Causes Not known
108907,Karnataka,2002,Causes,Family Problems,Male,45-59,291,Relation Troubles
108908,Karnataka,2002,Causes,Love Affairs,Male,45-59,1,Relation Troubles
108909,Karnataka,2002,Causes,Other Prolonged Illness,Male,45-59,439,Sickness
108910,Karnataka,2002,Causes,Cancellation/Non-Settlement of Marriage,Male,45-59,4,Relation Troubles
108911,Karnataka,2002,Causes,Drug Abuse/Addiction,Male,45-59,16,Drug Abuse/Addiction
108913,Karnataka,2002,Causes,Ideological Causes/Hero Worshipping,Male,45-59,4,Pressures of Society
108914,Karnataka,2002,Causes,Paralysis,Male,45-59,21,Sickness
108916,Karnataka,2002,Causes,Property Dispute,Male,45-59,25,Financial issues
108917,Karnataka,2002,Causes,Other Causes (Please Specity),Male,45-59,290,Others Causes
108919,Karnataka,2002,Causes,Ideological Causes/Hero Worshipping,Female,60+,1,Pressures of Society
108924,Karnataka,2002,Causes,Drug Abuse/Addiction,Female,60+,5,Drug Abuse/Addiction
108926,Karnataka,2002,Causes,Causes Not known,Female,60+,105,Causes Not known
108927,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Female,60+,1,Financial issues
108928,Karnataka,2002,Causes,Death of Dear Person,Female,60+,1,Relation Troubles
108930,Karnataka,2002,Causes,Insanity/Mental Illness,Female,60+,34,Sickness
108931,Karnataka,2002,Causes,Poverty,Female,60+,8,Financial issues
108933,Karnataka,2002,Causes,Other Prolonged Illness,Female,60+,110,Sickness
108936,Karnataka,2002,Causes,Illness (Aids/STD),Female,60+,1,Sickness
108938,Karnataka,2002,Causes,Family Problems,Female,60+,29,Relation Troubles
108940,Karnataka,2002,Causes,Paralysis,Female,60+,1,Sickness
108941,Karnataka,2002,Causes,Cancer,Female,60+,1,Sickness
108943,Karnataka,2002,Causes,Other Causes (Please Specity),Female,60+,43,Others Causes
108944,Karnataka,2002,Causes,Cancer,Male,60+,6,Sickness
108945,Karnataka,2002,Causes,Drug Abuse/Addiction,Male,60+,13,Drug Abuse/Addiction
108948,Karnataka,2002,Causes,Death of Dear Person,Male,60+,5,Relation Troubles
108949,Karnataka,2002,Causes,Other Prolonged Illness,Male,60+,294,Sickness
108950,Karnataka,2002,Causes,Poverty,Male,60+,36,Financial issues
108951,Karnataka,2002,Causes,Causes Not known,Male,60+,196,Causes Not known
108954,Karnataka,2002,Causes,Fall in Social Reputation,Male,60+,3,Pressures of Society
108956,Karnataka,2002,Causes,Other Causes (Please Specity),Male,60+,128,Others Causes
108958,Karnataka,2002,Causes,Bankruptcy or Sudden change in Economic Status,Male,60+,12,Financial issues
108961,Karnataka,2002,Causes,Professional/Career Problem,Male,60+,2,Financial issues
108962,Karnataka,2002,Causes,Insanity/Mental Illness,Male,60+,39,Sickness
108963,Karnataka,2002,Causes,Paralysis,Male,60+,12,Sickness
108965,Karnataka,2002,Causes,Love Affairs,Male,60+,1,Relation Troubles
108967,Karnataka,2002,Causes,Family Problems,Male,60+,60,Relation Troubles
108969,Karnataka,2002,Causes,Property Dispute,Male,60+,4,Financial issues
109276,Karnataka,2003,Causes,Other Prolonged Illness,Female,0-14,37,Sickness
109278,Karnataka,2003,Causes,Family Problems,Female,0-14,11,Relation Troubles
109281,Karnataka,2003,Causes,Causes Not known,Female,0-14,48,Causes Not known
109284,Karnataka,2003,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,1,Relation Troubles
109285,Karnataka,2003,Causes,Other Causes (Please Specity),Female,0-14,30,Others Causes
109289,Karnataka,2003,Causes,Poverty,Female,0-14,5,Financial issues
109290,Karnataka,2003,Causes,Paralysis,Female,0-14,1,Sickness
109295,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Female,0-14,3,Relation Troubles
109296,Karnataka,2003,Causes,Insanity/Mental Illness,Female,0-14,2,Sickness
109298,Karnataka,2003,Causes,Failure in Examination,Female,0-14,10,Pressures of Society
109299,Karnataka,2003,Causes,Love Affairs,Female,0-14,5,Relation Troubles
109301,Karnataka,2003,Causes,Death of Dear Person,Female,0-14,1,Relation Troubles
109302,Karnataka,2003,Causes,Failure in Examination,Male,0-14,11,Pressures of Society
109308,Karnataka,2003,Causes,Insanity/Mental Illness,Male,0-14,4,Sickness
109309,Karnataka,2003,Causes,Other Causes (Please Specity),Male,0-14,35,Others Causes
109311,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,10,Financial issues
109312,Karnataka,2003,Causes,Causes Not known,Male,0-14,47,Causes Not known
109314,Karnataka,2003,Causes,Family Problems,Male,0-14,4,Relation Troubles
109315,Karnataka,2003,Causes,Other Prolonged Illness,Male,0-14,26,Sickness
109317,Karnataka,2003,Causes,Love Affairs,Male,0-14,1,Relation Troubles
109324,Karnataka,2003,Causes,Paralysis,Male,0-14,3,Sickness
109325,Karnataka,2003,Causes,Fall in Social Reputation,Male,0-14,1,Pressures of Society
109328,Karnataka,2003,Causes,Failure in Examination,Female,15-29,45,Pressures of Society
109329,Karnataka,2003,Causes,Professional/Career Problem,Female,15-29,2,Financial issues
109330,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Female,15-29,24,Relation Troubles
109331,Karnataka,2003,Causes,Physical Abuse (Rape/Incest Etc.),Female,15-29,1,Physical Abuse (Rape/Incest Etc.)
109332,Karnataka,2003,Causes,Poverty,Female,15-29,30,Financial issues
109333,Karnataka,2003,Causes,Unemployment,Female,15-29,10,Financial issues
109334,Karnataka,2003,Causes,Causes Not known,Female,15-29,315,Causes Not known
109336,Karnataka,2003,Causes,Drug Abuse/Addiction,Female,15-29,3,Drug Abuse/Addiction
109337,Karnataka,2003,Causes,Cancellation/Non-Settlement of Marriage,Female,15-29,15,Relation Troubles
109338,Karnataka,2003,Causes,Other Causes (Please Specity),Female,15-29,316,Others Causes
109339,Karnataka,2003,Causes,Family Problems,Female,15-29,256,Relation Troubles
109340,Karnataka,2003,Causes,Suspected/Illicit Relation,Female,15-29,10,Relation Troubles
109341,Karnataka,2003,Causes,Fall in Social Reputation,Female,15-29,8,Pressures of Society
109342,Karnataka,2003,Causes,Illness (Aids/STD),Female,15-29,4,Sickness
109343,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Female,15-29,7,Financial issues
109344,Karnataka,2003,Causes,Love Affairs,Female,15-29,56,Relation Troubles
109345,Karnataka,2003,Causes,Dowry Dispute,Female,15-29,28,Relation Troubles
109346,Karnataka,2003,Causes,Illegitimate Pregnancy,Female,15-29,1,Relation Troubles
109347,Karnataka,2003,Causes,Divorce,Female,15-29,1,Relation Troubles
109348,Karnataka,2003,Causes,Other Prolonged Illness,Female,15-29,371,Sickness
109349,Karnataka,2003,Causes,Property Dispute,Female,15-29,3,Financial issues
109351,Karnataka,2003,Causes,Paralysis,Female,15-29,9,Sickness
109352,Karnataka,2003,Causes,Death of Dear Person,Female,15-29,22,Relation Troubles
109353,Karnataka,2003,Causes,Insanity/Mental Illness,Female,15-29,94,Sickness
109354,Karnataka,2003,Causes,Property Dispute,Male,15-29,16,Financial issues
109355,Karnataka,2003,Causes,Death of Dear Person,Male,15-29,24,Relation Troubles
109356,Karnataka,2003,Causes,Causes Not known,Male,15-29,617,Causes Not known
109357,Karnataka,2003,Causes,Divorce,Male,15-29,1,Relation Troubles
109358,Karnataka,2003,Causes,Cancer,Male,15-29,2,Sickness
109359,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,71,Financial issues
109361,Karnataka,2003,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,11,Relation Troubles
109362,Karnataka,2003,Causes,Fall in Social Reputation,Male,15-29,4,Pressures of Society
109363,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Male,15-29,11,Relation Troubles
109365,Karnataka,2003,Causes,Unemployment,Male,15-29,66,Financial issues
109366,Karnataka,2003,Causes,Ideological Causes/Hero Worshipping,Male,15-29,8,Pressures of Society
109367,Karnataka,2003,Causes,Paralysis,Male,15-29,15,Sickness
109368,Karnataka,2003,Causes,Illness (Aids/STD),Male,15-29,11,Sickness
109369,Karnataka,2003,Causes,Other Prolonged Illness,Male,15-29,428,Sickness
109370,Karnataka,2003,Causes,Family Problems,Male,15-29,302,Relation Troubles
109371,Karnataka,2003,Causes,Insanity/Mental Illness,Male,15-29,115,Sickness
109372,Karnataka,2003,Causes,Professional/Career Problem,Male,15-29,9,Financial issues
109373,Karnataka,2003,Causes,Love Affairs,Male,15-29,47,Relation Troubles
109374,Karnataka,2003,Causes,Poverty,Male,15-29,100,Financial issues
109375,Karnataka,2003,Causes,Failure in Examination,Male,15-29,66,Pressures of Society
109376,Karnataka,2003,Causes,Other Causes (Please Specity),Male,15-29,481,Others Causes
109378,Karnataka,2003,Causes,Suspected/Illicit Relation,Male,15-29,2,Relation Troubles
109379,Karnataka,2003,Causes,Drug Abuse/Addiction,Male,15-29,19,Drug Abuse/Addiction
109380,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Female,30-44,33,Relation Troubles
109381,Karnataka,2003,Causes,Paralysis,Female,30-44,7,Sickness
109382,Karnataka,2003,Causes,Poverty,Female,30-44,50,Financial issues
109383,Karnataka,2003,Causes,Fall in Social Reputation,Female,30-44,1,Pressures of Society
109384,Karnataka,2003,Causes,Suspected/Illicit Relation,Female,30-44,4,Relation Troubles
109385,Karnataka,2003,Causes,Family Problems,Female,30-44,239,Relation Troubles
109386,Karnataka,2003,Causes,Death of Dear Person,Female,30-44,11,Relation Troubles
109388,Karnataka,2003,Causes,Dowry Dispute,Female,30-44,15,Relation Troubles
109389,Karnataka,2003,Causes,Insanity/Mental Illness,Female,30-44,65,Sickness
109390,Karnataka,2003,Causes,Love Affairs,Female,30-44,5,Relation Troubles
109391,Karnataka,2003,Causes,Divorce,Female,30-44,2,Relation Troubles
109392,Karnataka,2003,Causes,Failure in Examination,Female,30-44,1,Pressures of Society
109394,Karnataka,2003,Causes,Other Causes (Please Specity),Female,30-44,231,Others Causes
109395,Karnataka,2003,Causes,Unemployment,Female,30-44,3,Financial issues
109396,Karnataka,2003,Causes,Cancellation/Non-Settlement of Marriage,Female,30-44,2,Relation Troubles
109397,Karnataka,2003,Causes,Causes Not known,Female,30-44,323,Causes Not known
109398,Karnataka,2003,Causes,Other Prolonged Illness,Female,30-44,269,Sickness
109399,Karnataka,2003,Causes,Physical Abuse (Rape/Incest Etc.),Female,30-44,1,Physical Abuse (Rape/Incest Etc.)
109400,Karnataka,2003,Causes,Illness (Aids/STD),Female,30-44,3,Sickness
109401,Karnataka,2003,Causes,Drug Abuse/Addiction,Female,30-44,2,Drug Abuse/Addiction
109402,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Female,30-44,10,Financial issues
109404,Karnataka,2003,Causes,Property Dispute,Female,30-44,4,Financial issues
109406,Karnataka,2003,Causes,Suspected/Illicit Relation,Male,30-44,14,Relation Troubles
109407,Karnataka,2003,Causes,Cancer,Male,30-44,17,Sickness
109409,Karnataka,2003,Causes,Love Affairs,Male,30-44,7,Relation Troubles
109410,Karnataka,2003,Causes,Drug Abuse/Addiction,Male,30-44,18,Drug Abuse/Addiction
109411,Karnataka,2003,Causes,Fall in Social Reputation,Male,30-44,9,Pressures of Society
109413,Karnataka,2003,Causes,Family Problems,Male,30-44,421,Relation Troubles
109414,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Male,30-44,114,Financial issues
109415,Karnataka,2003,Causes,Divorce,Male,30-44,1,Relation Troubles
109416,Karnataka,2003,Causes,Failure in Examination,Male,30-44,4,Pressures of Society
109417,Karnataka,2003,Causes,Insanity/Mental Illness,Male,30-44,172,Sickness
109418,Karnataka,2003,Causes,Paralysis,Male,30-44,22,Sickness
109419,Karnataka,2003,Causes,Property Dispute,Male,30-44,28,Financial issues
109420,Karnataka,2003,Causes,Causes Not known,Male,30-44,756,Causes Not known
109421,Karnataka,2003,Causes,Other Prolonged Illness,Male,30-44,484,Sickness
109422,Karnataka,2003,Causes,Professional/Career Problem,Male,30-44,32,Financial issues
109424,Karnataka,2003,Causes,Poverty,Male,30-44,175,Financial issues
109425,Karnataka,2003,Causes,Illness (Aids/STD),Male,30-44,20,Sickness
109426,Karnataka,2003,Causes,Other Causes (Please Specity),Male,30-44,508,Others Causes
109427,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Male,30-44,20,Relation Troubles
109429,Karnataka,2003,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,2,Relation Troubles
109430,Karnataka,2003,Causes,Death of Dear Person,Male,30-44,10,Relation Troubles
109431,Karnataka,2003,Causes,Unemployment,Male,30-44,61,Financial issues
109434,Karnataka,2003,Causes,Property Dispute,Female,45-59,3,Financial issues
109436,Karnataka,2003,Causes,Causes Not known,Female,45-59,158,Causes Not known
109437,Karnataka,2003,Causes,Other Causes (Please Specity),Female,45-59,90,Others Causes
109438,Karnataka,2003,Causes,Other Prolonged Illness,Female,45-59,167,Sickness
109440,Karnataka,2003,Causes,Illness (Aids/STD),Female,45-59,1,Sickness
109441,Karnataka,2003,Causes,Insanity/Mental Illness,Female,45-59,46,Sickness
109444,Karnataka,2003,Causes,Family Problems,Female,45-59,96,Relation Troubles
109445,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Female,45-59,8,Financial issues
109449,Karnataka,2003,Causes,Cancer,Female,45-59,2,Sickness
109450,Karnataka,2003,Causes,Dowry Dispute,Female,45-59,2,Relation Troubles
109453,Karnataka,2003,Causes,Poverty,Female,45-59,28,Financial issues
109455,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Female,45-59,7,Relation Troubles
109456,Karnataka,2003,Causes,Paralysis,Female,45-59,3,Sickness
109458,Karnataka,2003,Causes,Ideological Causes/Hero Worshipping,Male,45-59,4,Pressures of Society
109459,Karnataka,2003,Causes,Other Prolonged Illness,Male,45-59,412,Sickness
109460,Karnataka,2003,Causes,Illness (Aids/STD),Male,45-59,4,Sickness
109461,Karnataka,2003,Causes,Paralysis,Male,45-59,16,Sickness
109462,Karnataka,2003,Causes,Property Dispute,Male,45-59,19,Financial issues
109463,Karnataka,2003,Causes,Insanity/Mental Illness,Male,45-59,104,Sickness
109464,Karnataka,2003,Causes,Unemployment,Male,45-59,11,Financial issues
109465,Karnataka,2003,Causes,Cancer,Male,45-59,10,Sickness
109466,Karnataka,2003,Causes,Family Problems,Male,45-59,307,Relation Troubles
109467,Karnataka,2003,Causes,Bankruptcy or Sudden change in Economic,Male,45-59,70,Financial issues
109470,Karnataka,2003,Causes,Death of Dear Person,Male,45-59,14,Relation Troubles
109471,Karnataka,2003,Causes,Fall in Social Reputation,Male,45-59,2,Pressures of Society
109473,Karnataka,2003,Causes,Drug Abuse/Addiction,Male,45-59,11,Drug Abuse/Addiction
109474,Karnataka,2003,Causes,Suspected/Illicit Relation,Male,45-59,5,Relation Troubles
109476,Karnataka,2003,Causes,Professional/Career Problem,Male,45-59,10,Financial issues
109477,Karnataka,2003,Causes,Causes Not known,Male,45-59,469,Causes Not known
109478,Karnataka,2003,Causes,Not having Children(Barrenness/Impotency,Male,45-59,5,Relation Troubles
109479,Karnataka,2003,Causes,Love Affairs,Male,45-59,1,Relation Troubles
109481,Karnataka,2003,Causes,Poverty,Male,45-59,110,Financial issues
109483,Karnataka,2003,Causes,Other Causes (Please Specity),Male,45-59,418,Others Causes
109489,Karnataka,2003,Causes,Insanity/Mental Illness,Female,60+,19,Sickness
109490,Karnataka,2003,Causes,Death of Dear Person,Female,60+,2,Relation Troubles
109492,Karnataka,2003,Causes,Paralysis,Female,60+,1,Sickness
109493,Karnataka,2003,Causes,Ideological Causes/Hero Worshipping,Female,60+,1,Pressures of Society
109494,Karnataka,2003,Causes,Family Problems,Female,60+,40,Relation Troubles
109495,Karnataka,2003,Causes,Cancer,Female,60+,1,Sickness
