,State,Year,Categories,Age_group,Total
5318,Karnataka,2008,Others Causes,0-14,37
5319,Karnataka,2008,Others Causes,15-29,1044
5320,Karnataka,2008,Others Causes,30-44,1256
5321,Karnataka,2008,Others Causes,45-59,736
5322,Karnataka,2008,Others Causes,60+,242
5323,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),0-14,1
5324,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),15-29,6
5325,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),30-44,7
5326,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),45-59,3
5327,Karnataka,2008,Physical Abuse (Rape/Incest Etc.),60+,2
5328,Karnataka,2008,Pressures of Society,0-14,20
5329,Karnataka,2008,Pressures of Society,15-29,125
5330,Karnataka,2008,Pressures of Society,30-44,10
5331,Karnataka,2008,Pressures of Society,45-59,15
5332,Karnataka,2008,Pressures of Society,60+,3
5333,Karnataka,2008,Relation Troubles,0-14,8
5334,Karnataka,2008,Relation Troubles,15-29,804
5335,Karnataka,2008,Relation Troubles,30-44,838
5336,Karnataka,2008,Relation Troubles,45-59,534
5337,Karnataka,2008,Relation Troubles,60+,134
5338,Karnataka,2008,Sickness,0-14,31
5339,Karnataka,2008,Sickness,15-29,978
5340,Karnataka,2008,Sickness,30-44,1081
5341,Karnataka,2008,Sickness,45-59,819
5342,Karnataka,2008,Sickness,60+,439
5343,Karnataka,2009,Causes Not known,0-14,184
5344,Karnataka,2009,Causes Not known,15-29,879
5345,Karnataka,2009,Causes Not known,30-44,1092
5346,Karnataka,2009,Causes Not known,45-59,799
5347,Karnataka,2009,Causes Not known,60+,316
5348,Karnataka,2009,Drug Abuse/Addiction,0-14,3
5349,Karnataka,2009,Drug Abuse/Addiction,15-29,15
5350,Karnataka,2009,Drug Abuse/Addiction,30-44,22
5351,Karnataka,2009,Drug Abuse/Addiction,45-59,15
5352,Karnataka,2009,Drug Abuse/Addiction,60+,10
5353,Karnataka,2009,Financial issues,0-14,8
5354,Karnataka,2009,Financial issues,15-29,171
5355,Karnataka,2009,Financial issues,30-44,251
5356,Karnataka,2009,Financial issues,45-59,172
5357,Karnataka,2009,Financial issues,60+,79
5358,Karnataka,2009,Others Causes,0-14,48
5359,Karnataka,2009,Others Causes,15-29,429
5360,Karnataka,2009,Others Causes,30-44,839
5361,Karnataka,2009,Others Causes,45-59,648
5362,Karnataka,2009,Others Causes,60+,172
5363,Karnataka,2009,Physical Abuse (Rape/Incest Etc.),15-29,12
5364,Karnataka,2009,Physical Abuse (Rape/Incest Etc.),30-44,2
5365,Karnataka,2009,Pressures of Society,0-14,18
5366,Karnataka,2009,Pressures of Society,15-29,123
5367,Karnataka,2009,Pressures of Society,30-44,8
5368,Karnataka,2009,Pressures of Society,45-59,37
5369,Karnataka,2009,Pressures of Society,60+,2
5370,Karnataka,2009,Relation Troubles,0-14,49
5371,Karnataka,2009,Relation Troubles,15-29,720
5372,Karnataka,2009,Relation Troubles,30-44,913
5373,Karnataka,2009,Relation Troubles,45-59,682
5374,Karnataka,2009,Relation Troubles,60+,253
5375,Karnataka,2009,Sickness,0-14,56
5376,Karnataka,2009,Sickness,15-29,776
5377,Karnataka,2009,Sickness,30-44,1028
5378,Karnataka,2009,Sickness,45-59,873
5379,Karnataka,2009,Sickness,60+,491
5380,Karnataka,2010,Causes Not known,0-14,55
5381,Karnataka,2010,Causes Not known,15-29,694
5382,Karnataka,2010,Causes Not known,30-44,894
5383,Karnataka,2010,Causes Not known,45-59,652
5384,Karnataka,2010,Causes Not known,60+,217
5385,Karnataka,2010,Drug Abuse/Addiction,0-14,1
5386,Karnataka,2010,Drug Abuse/Addiction,15-29,21
5387,Karnataka,2010,Drug Abuse/Addiction,30-44,17
5388,Karnataka,2010,Drug Abuse/Addiction,45-59,21
5389,Karnataka,2010,Drug Abuse/Addiction,60+,8
5390,Karnataka,2010,Financial issues,0-14,3
5391,Karnataka,2010,Financial issues,15-29,160
5392,Karnataka,2010,Financial issues,30-44,234
5393,Karnataka,2010,Financial issues,45-59,256
5394,Karnataka,2010,Financial issues,60+,75
5395,Karnataka,2010,Others Causes,0-14,68
5396,Karnataka,2010,Others Causes,15-29,1001
5397,Karnataka,2010,Others Causes,30-44,933
5398,Karnataka,2010,Others Causes,45-59,622
5399,Karnataka,2010,Others Causes,60+,267
5400,Karnataka,2010,Physical Abuse (Rape/Incest Etc.),30-44,1
5401,Karnataka,2010,Pressures of Society,0-14,18
5402,Karnataka,2010,Pressures of Society,15-29,155
5403,Karnataka,2010,Pressures of Society,30-44,15
5404,Karnataka,2010,Pressures of Society,45-59,14
5405,Karnataka,2010,Pressures of Society,60+,14
5406,Karnataka,2010,Relation Troubles,0-14,26
5407,Karnataka,2010,Relation Troubles,15-29,785
5408,Karnataka,2010,Relation Troubles,30-44,843
5409,Karnataka,2010,Relation Troubles,45-59,599
5410,Karnataka,2010,Relation Troubles,60+,259
5411,Karnataka,2010,Sickness,0-14,84
5412,Karnataka,2010,Sickness,15-29,856
5413,Karnataka,2010,Sickness,30-44,1176
5414,Karnataka,2010,Sickness,45-59,1059
5415,Karnataka,2010,Sickness,60+,548
5416,Karnataka,2011,Causes Not known,0-14,26
5417,Karnataka,2011,Causes Not known,15-29,801
5418,Karnataka,2011,Causes Not known,30-44,930
5419,Karnataka,2011,Causes Not known,45-59,596
5420,Karnataka,2011,Causes Not known,60+,235
5421,Karnataka,2011,Drug Abuse/Addiction,15-29,16
5422,Karnataka,2011,Drug Abuse/Addiction,30-44,22
5423,Karnataka,2011,Drug Abuse/Addiction,45-59,24
5424,Karnataka,2011,Drug Abuse/Addiction,60+,9
5425,Karnataka,2011,Financial issues,0-14,2
5426,Karnataka,2011,Financial issues,15-29,196
5427,Karnataka,2011,Financial issues,30-44,283
5428,Karnataka,2011,Financial issues,45-59,187
5429,Karnataka,2011,Financial issues,60+,53
5430,Karnataka,2011,Others Causes,0-14,81
5431,Karnataka,2011,Others Causes,15-29,790
5432,Karnataka,2011,Others Causes,30-44,960
5433,Karnataka,2011,Others Causes,45-59,652
5434,Karnataka,2011,Others Causes,60+,237
5435,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),0-14,1
5436,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),15-29,3
5437,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),30-44,5
5438,Karnataka,2011,Physical Abuse (Rape/Incest Etc.),45-59,1
5439,Karnataka,2011,Pressures of Society,0-14,64
5440,Karnataka,2011,Pressures of Society,15-29,181
5441,Karnataka,2011,Pressures of Society,30-44,30
5442,Karnataka,2011,Pressures of Society,45-59,16
5443,Karnataka,2011,Pressures of Society,60+,3
5444,Karnataka,2011,Relation Troubles,0-14,122
5445,Karnataka,2011,Relation Troubles,15-29,1082
5446,Karnataka,2011,Relation Troubles,30-44,1090
5447,Karnataka,2011,Relation Troubles,45-59,638
5448,Karnataka,2011,Relation Troubles,60+,140
5449,Karnataka,2011,Sickness,0-14,12
5450,Karnataka,2011,Sickness,15-29,869
5451,Karnataka,2011,Sickness,30-44,987
5452,Karnataka,2011,Sickness,45-59,860
5453,Karnataka,2011,Sickness,60+,418
5454,Karnataka,2012,Causes Not known,0-14,39
5455,Karnataka,2012,Causes Not known,15-29,650
5456,Karnataka,2012,Causes Not known,30-44,782
5457,Karnataka,2012,Causes Not known,45-59,464
5458,Karnataka,2012,Causes Not known,60+,180
5459,Karnataka,2012,Drug Abuse/Addiction,15-29,26
5460,Karnataka,2012,Drug Abuse/Addiction,30-44,22
5461,Karnataka,2012,Drug Abuse/Addiction,45-59,21
5462,Karnataka,2012,Drug Abuse/Addiction,60+,8
5463,Karnataka,2012,Financial issues,0-14,6
5464,Karnataka,2012,Financial issues,15-29,237
5465,Karnataka,2012,Financial issues,30-44,311
5466,Karnataka,2012,Financial issues,45-59,211
5467,Karnataka,2012,Financial issues,60+,39
5468,Karnataka,2012,Others Causes,0-14,25
5469,Karnataka,2012,Others Causes,15-29,757
5470,Karnataka,2012,Others Causes,30-44,981
5471,Karnataka,2012,Others Causes,45-59,667
5472,Karnataka,2012,Others Causes,60+,233
5473,Karnataka,2012,Physical Abuse (Rape/Incest Etc.),15-29,2
5474,Karnataka,2012,Pressures of Society,0-14,17
5475,Karnataka,2012,Pressures of Society,15-29,224
5476,Karnataka,2012,Pressures of Society,30-44,57
5477,Karnataka,2012,Pressures of Society,45-59,50
5478,Karnataka,2012,Pressures of Society,60+,11
5479,Karnataka,2012,Relation Troubles,0-14,40
5480,Karnataka,2012,Relation Troubles,15-29,1329
5481,Karnataka,2012,Relation Troubles,30-44,1209
5482,Karnataka,2012,Relation Troubles,45-59,677
5483,Karnataka,2012,Relation Troubles,60+,155
5484,Karnataka,2012,Sickness,0-14,29
5485,Karnataka,2012,Sickness,15-29,919
5486,Karnataka,2012,Sickness,30-44,1058
5487,Karnataka,2012,Sickness,45-59,906
5488,Karnataka,2012,Sickness,60+,411
5489,Kerala,2001,Causes Not known,0-14,9
5490,Kerala,2001,Causes Not known,15-29,216
5491,Kerala,2001,Causes Not known,30-44,227
5492,Kerala,2001,Causes Not known,45-59,231
5493,Kerala,2001,Causes Not known,60+,157
5494,Kerala,2001,Drug Abuse/Addiction,15-29,16
5495,Kerala,2001,Drug Abuse/Addiction,30-44,35
5496,Kerala,2001,Drug Abuse/Addiction,45-59,27
5497,Kerala,2001,Drug Abuse/Addiction,60+,5
5498,Kerala,2001,Financial issues,0-14,2
5499,Kerala,2001,Financial issues,15-29,209
5500,Kerala,2001,Financial issues,30-44,766
5501,Kerala,2001,Financial issues,45-59,715
5502,Kerala,2001,Financial issues,60+,208
5503,Kerala,2001,Others Causes,0-14,26
5504,Kerala,2001,Others Causes,15-29,470
5505,Kerala,2001,Others Causes,30-44,636
5506,Kerala,2001,Others Causes,45-59,468
5507,Kerala,2001,Others Causes,60+,326
5508,Kerala,2001,Pressures of Society,0-14,20
5509,Kerala,2001,Pressures of Society,15-29,68
5510,Kerala,2001,Pressures of Society,30-44,23
5511,Kerala,2001,Pressures of Society,45-59,26
5512,Kerala,2001,Pressures of Society,60+,37
5513,Kerala,2001,Relation Troubles,0-14,28
5514,Kerala,2001,Relation Troubles,15-29,596
5515,Kerala,2001,Relation Troubles,30-44,648
5516,Kerala,2001,Relation Troubles,45-59,607
5517,Kerala,2001,Relation Troubles,60+,287
5518,Kerala,2001,Sickness,0-14,6
5519,Kerala,2001,Sickness,15-29,328
5520,Kerala,2001,Sickness,30-44,570
5521,Kerala,2001,Sickness,45-59,832
5522,Kerala,2001,Sickness,60+,747
5523,Kerala,2002,Causes Not known,0-14,20
5524,Kerala,2002,Causes Not known,15-29,381
5525,Kerala,2002,Causes Not known,30-44,482
5526,Kerala,2002,Causes Not known,45-59,380
5527,Kerala,2002,Causes Not known,60+,298
5528,Kerala,2002,Drug Abuse/Addiction,15-29,29
5529,Kerala,2002,Drug Abuse/Addiction,30-44,61
5530,Kerala,2002,Drug Abuse/Addiction,45-59,83
5531,Kerala,2002,Drug Abuse/Addiction,60+,8
5532,Kerala,2002,Financial issues,0-14,5
5533,Kerala,2002,Financial issues,15-29,172
5534,Kerala,2002,Financial issues,30-44,514
5535,Kerala,2002,Financial issues,45-59,464
5536,Kerala,2002,Financial issues,60+,194
5537,Kerala,2002,Others Causes,0-14,23
5538,Kerala,2002,Others Causes,15-29,320
5539,Kerala,2002,Others Causes,30-44,508
5540,Kerala,2002,Others Causes,45-59,378
5541,Kerala,2002,Others Causes,60+,198
5542,Kerala,2002,Physical Abuse (Rape/Incest Etc.),15-29,6
5543,Kerala,2002,Pressures of Society,0-14,20
5544,Kerala,2002,Pressures of Society,15-29,81
5545,Kerala,2002,Pressures of Society,30-44,12
5546,Kerala,2002,Pressures of Society,45-59,13
5547,Kerala,2002,Pressures of Society,60+,14
5548,Kerala,2002,Relation Troubles,0-14,43
5549,Kerala,2002,Relation Troubles,15-29,594
5550,Kerala,2002,Relation Troubles,30-44,805
5551,Kerala,2002,Relation Troubles,45-59,738
5552,Kerala,2002,Relation Troubles,60+,450
5553,Kerala,2002,Sickness,0-14,8
5554,Kerala,2002,Sickness,15-29,370
5555,Kerala,2002,Sickness,30-44,654
5556,Kerala,2002,Sickness,45-59,746
5557,Kerala,2002,Sickness,60+,738
5558,Kerala,2003,Causes Not known,0-14,34
5559,Kerala,2003,Causes Not known,15-29,326
5560,Kerala,2003,Causes Not known,30-44,405
5561,Kerala,2003,Causes Not known,45-59,356
5562,Kerala,2003,Causes Not known,60+,222
5563,Kerala,2003,Drug Abuse/Addiction,15-29,19
5564,Kerala,2003,Drug Abuse/Addiction,30-44,43
5565,Kerala,2003,Drug Abuse/Addiction,45-59,55
5566,Kerala,2003,Drug Abuse/Addiction,60+,41
5567,Kerala,2003,Financial issues,0-14,2
5568,Kerala,2003,Financial issues,15-29,182
5569,Kerala,2003,Financial issues,30-44,414
5570,Kerala,2003,Financial issues,45-59,436
5571,Kerala,2003,Financial issues,60+,186
5572,Kerala,2003,Others Causes,0-14,24
5573,Kerala,2003,Others Causes,15-29,335
5574,Kerala,2003,Others Causes,30-44,372
5575,Kerala,2003,Others Causes,45-59,422
5576,Kerala,2003,Others Causes,60+,323
5577,Kerala,2003,Pressures of Society,0-14,13
5578,Kerala,2003,Pressures of Society,15-29,95
5579,Kerala,2003,Pressures of Society,30-44,37
5580,Kerala,2003,Pressures of Society,45-59,19
5581,Kerala,2003,Pressures of Society,60+,16
5582,Kerala,2003,Relation Troubles,0-14,23
5583,Kerala,2003,Relation Troubles,15-29,533
5584,Kerala,2003,Relation Troubles,30-44,707
5585,Kerala,2003,Relation Troubles,45-59,686
5586,Kerala,2003,Relation Troubles,60+,374
5587,Kerala,2003,Sickness,0-14,3
5588,Kerala,2003,Sickness,15-29,484
5589,Kerala,2003,Sickness,30-44,701
5590,Kerala,2003,Sickness,45-59,786
5591,Kerala,2003,Sickness,60+,764
5592,Kerala,2004,Causes Not known,0-14,12
5593,Kerala,2004,Causes Not known,15-29,244
5594,Kerala,2004,Causes Not known,30-44,347
5595,Kerala,2004,Causes Not known,45-59,345
5596,Kerala,2004,Causes Not known,60+,241
5597,Kerala,2004,Drug Abuse/Addiction,15-29,19
5598,Kerala,2004,Drug Abuse/Addiction,30-44,28
5599,Kerala,2004,Drug Abuse/Addiction,45-59,27
5600,Kerala,2004,Drug Abuse/Addiction,60+,6
5601,Kerala,2004,Financial issues,0-14,2
5602,Kerala,2004,Financial issues,15-29,216
5603,Kerala,2004,Financial issues,30-44,412
5604,Kerala,2004,Financial issues,45-59,381
5605,Kerala,2004,Financial issues,60+,130
5606,Kerala,2004,Others Causes,0-14,20
5607,Kerala,2004,Others Causes,15-29,326
5608,Kerala,2004,Others Causes,30-44,397
5609,Kerala,2004,Others Causes,45-59,400
5610,Kerala,2004,Others Causes,60+,250
5611,Kerala,2004,Physical Abuse (Rape/Incest Etc.),15-29,3
5612,Kerala,2004,Pressures of Society,0-14,13
5613,Kerala,2004,Pressures of Society,15-29,63
5614,Kerala,2004,Pressures of Society,30-44,2
5615,Kerala,2004,Pressures of Society,45-59,9
5616,Kerala,2004,Relation Troubles,0-14,32
5617,Kerala,2004,Relation Troubles,15-29,565
5618,Kerala,2004,Relation Troubles,30-44,848
5619,Kerala,2004,Relation Troubles,45-59,581
5620,Kerala,2004,Relation Troubles,60+,313
5621,Kerala,2004,Sickness,0-14,22
5622,Kerala,2004,Sickness,15-29,400
5623,Kerala,2004,Sickness,30-44,687
5624,Kerala,2004,Sickness,45-59,903
5625,Kerala,2004,Sickness,60+,809
5626,Kerala,2005,Causes Not known,0-14,8
5627,Kerala,2005,Causes Not known,15-29,174
5628,Kerala,2005,Causes Not known,30-44,244
5629,Kerala,2005,Causes Not known,45-59,241
5630,Kerala,2005,Causes Not known,60+,185
5631,Kerala,2005,Drug Abuse/Addiction,15-29,21
5632,Kerala,2005,Drug Abuse/Addiction,30-44,20
5633,Kerala,2005,Drug Abuse/Addiction,45-59,19
5634,Kerala,2005,Drug Abuse/Addiction,60+,3
5635,Kerala,2005,Financial issues,0-14,2
5636,Kerala,2005,Financial issues,15-29,143
5637,Kerala,2005,Financial issues,30-44,338
5638,Kerala,2005,Financial issues,45-59,439
5639,Kerala,2005,Financial issues,60+,103
5640,Kerala,2005,Others Causes,0-14,20
5641,Kerala,2005,Others Causes,15-29,375
5642,Kerala,2005,Others Causes,30-44,464
5643,Kerala,2005,Others Causes,45-59,361
5644,Kerala,2005,Others Causes,60+,191
5645,Kerala,2005,Physical Abuse (Rape/Incest Etc.),60+,1
5646,Kerala,2005,Pressures of Society,0-14,26
5647,Kerala,2005,Pressures of Society,15-29,66
5648,Kerala,2005,Pressures of Society,30-44,40
5649,Kerala,2005,Pressures of Society,45-59,37
5650,Kerala,2005,Pressures of Society,60+,24
5651,Kerala,2005,Relation Troubles,0-14,32
5652,Kerala,2005,Relation Troubles,15-29,716
5653,Kerala,2005,Relation Troubles,30-44,982
5654,Kerala,2005,Relation Troubles,45-59,844
5655,Kerala,2005,Relation Troubles,60+,384
5656,Kerala,2005,Sickness,0-14,8
5657,Kerala,2005,Sickness,15-29,433
5658,Kerala,2005,Sickness,30-44,663
5659,Kerala,2005,Sickness,45-59,842
5660,Kerala,2005,Sickness,60+,795
5661,Kerala,2006,Causes Not known,0-14,13
5662,Kerala,2006,Causes Not known,15-29,143
5663,Kerala,2006,Causes Not known,30-44,184
5664,Kerala,2006,Causes Not known,45-59,158
5665,Kerala,2006,Causes Not known,60+,114
5666,Kerala,2006,Drug Abuse/Addiction,0-14,3
5667,Kerala,2006,Drug Abuse/Addiction,15-29,26
5668,Kerala,2006,Drug Abuse/Addiction,30-44,49
5669,Kerala,2006,Drug Abuse/Addiction,45-59,26
5670,Kerala,2006,Drug Abuse/Addiction,60+,13
5671,Kerala,2006,Financial issues,0-14,3
5672,Kerala,2006,Financial issues,15-29,105
5673,Kerala,2006,Financial issues,30-44,275
5674,Kerala,2006,Financial issues,45-59,392
5675,Kerala,2006,Financial issues,60+,93
5676,Kerala,2006,Others Causes,0-14,19
5677,Kerala,2006,Others Causes,15-29,161
5678,Kerala,2006,Others Causes,30-44,204
5679,Kerala,2006,Others Causes,45-59,207
5680,Kerala,2006,Others Causes,60+,128
5681,Kerala,2006,Physical Abuse (Rape/Incest Etc.),15-29,8
5682,Kerala,2006,Physical Abuse (Rape/Incest Etc.),45-59,1
5683,Kerala,2006,Physical Abuse (Rape/Incest Etc.),60+,2
5684,Kerala,2006,Pressures of Society,0-14,23
5685,Kerala,2006,Pressures of Society,15-29,61
5686,Kerala,2006,Pressures of Society,30-44,34
5687,Kerala,2006,Pressures of Society,45-59,13
5688,Kerala,2006,Pressures of Society,60+,9
5689,Kerala,2006,Relation Troubles,0-14,48
5690,Kerala,2006,Relation Troubles,15-29,808
5691,Kerala,2006,Relation Troubles,30-44,1159
5692,Kerala,2006,Relation Troubles,45-59,1102
5693,Kerala,2006,Relation Troubles,60+,568
5694,Kerala,2006,Sickness,0-14,5
5695,Kerala,2006,Sickness,15-29,436
5696,Kerala,2006,Sickness,30-44,726
5697,Kerala,2006,Sickness,45-59,902
5698,Kerala,2006,Sickness,60+,805
5699,Kerala,2007,Causes Not known,0-14,8
5700,Kerala,2007,Causes Not known,15-29,208
5701,Kerala,2007,Causes Not known,30-44,257
5702,Kerala,2007,Causes Not known,45-59,219
5703,Kerala,2007,Causes Not known,60+,114
5704,Kerala,2007,Drug Abuse/Addiction,15-29,24
5705,Kerala,2007,Drug Abuse/Addiction,30-44,61
5706,Kerala,2007,Drug Abuse/Addiction,45-59,45
5707,Kerala,2007,Drug Abuse/Addiction,60+,7
5708,Kerala,2007,Financial issues,15-29,102
5709,Kerala,2007,Financial issues,30-44,277
5710,Kerala,2007,Financial issues,45-59,388
5711,Kerala,2007,Financial issues,60+,85
5712,Kerala,2007,Others Causes,0-14,2
5713,Kerala,2007,Others Causes,15-29,47
5714,Kerala,2007,Others Causes,30-44,46
5715,Kerala,2007,Others Causes,45-59,51
5716,Kerala,2007,Others Causes,60+,36
5717,Kerala,2007,Physical Abuse (Rape/Incest Etc.),15-29,1
5718,Kerala,2007,Pressures of Society,0-14,14
5719,Kerala,2007,Pressures of Society,15-29,37
5720,Kerala,2007,Pressures of Society,30-44,22
5721,Kerala,2007,Pressures of Society,45-59,18
5722,Kerala,2007,Pressures of Society,60+,1
5723,Kerala,2007,Relation Troubles,0-14,59
5724,Kerala,2007,Relation Troubles,15-29,915
5725,Kerala,2007,Relation Troubles,30-44,1334
5726,Kerala,2007,Relation Troubles,45-59,1219
5727,Kerala,2007,Relation Troubles,60+,542
5728,Kerala,2007,Sickness,0-14,8
5729,Kerala,2007,Sickness,15-29,373
5730,Kerala,2007,Sickness,30-44,753
5731,Kerala,2007,Sickness,45-59,980
5732,Kerala,2007,Sickness,60+,709
5733,Kerala,2008,Causes Not known,0-14,10
5734,Kerala,2008,Causes Not known,15-29,143
5735,Kerala,2008,Causes Not known,30-44,188
5736,Kerala,2008,Causes Not known,45-59,165
5737,Kerala,2008,Causes Not known,60+,95
5738,Kerala,2008,Drug Abuse/Addiction,15-29,25
5739,Kerala,2008,Drug Abuse/Addiction,30-44,94
5740,Kerala,2008,Drug Abuse/Addiction,45-59,88
5741,Kerala,2008,Drug Abuse/Addiction,60+,28
5742,Kerala,2008,Financial issues,15-29,43
5743,Kerala,2008,Financial issues,30-44,241
5744,Kerala,2008,Financial issues,45-59,294
5745,Kerala,2008,Financial issues,60+,78
5746,Kerala,2008,Others Causes,0-14,7
5747,Kerala,2008,Others Causes,15-29,24
5748,Kerala,2008,Others Causes,30-44,39
5749,Kerala,2008,Others Causes,45-59,40
5750,Kerala,2008,Others Causes,60+,27
5751,Kerala,2008,Physical Abuse (Rape/Incest Etc.),0-14,1
5752,Kerala,2008,Physical Abuse (Rape/Incest Etc.),15-29,2
5753,Kerala,2008,Pressures of Society,0-14,13
5754,Kerala,2008,Pressures of Society,15-29,34
5755,Kerala,2008,Pressures of Society,30-44,23
5756,Kerala,2008,Pressures of Society,45-59,23
5757,Kerala,2008,Pressures of Society,60+,3
5758,Kerala,2008,Relation Troubles,0-14,34
5759,Kerala,2008,Relation Troubles,15-29,1032
5760,Kerala,2008,Relation Troubles,30-44,1417
5761,Kerala,2008,Relation Troubles,45-59,1081
5762,Kerala,2008,Relation Troubles,60+,538
5763,Kerala,2008,Sickness,0-14,3
5764,Kerala,2008,Sickness,15-29,379
5765,Kerala,2008,Sickness,30-44,738
5766,Kerala,2008,Sickness,45-59,947
5767,Kerala,2008,Sickness,60+,672
5768,Kerala,2009,Causes Not known,0-14,13
5769,Kerala,2009,Causes Not known,15-29,155
5770,Kerala,2009,Causes Not known,30-44,189
5771,Kerala,2009,Causes Not known,45-59,142
5772,Kerala,2009,Causes Not known,60+,122
5773,Kerala,2009,Drug Abuse/Addiction,15-29,44
5774,Kerala,2009,Drug Abuse/Addiction,30-44,102
5775,Kerala,2009,Drug Abuse/Addiction,45-59,87
5776,Kerala,2009,Drug Abuse/Addiction,60+,27
5777,Kerala,2009,Financial issues,0-14,1
5778,Kerala,2009,Financial issues,15-29,64
5779,Kerala,2009,Financial issues,30-44,242
5780,Kerala,2009,Financial issues,45-59,295
5781,Kerala,2009,Financial issues,60+,82
5782,Kerala,2009,Others Causes,0-14,3
5783,Kerala,2009,Others Causes,15-29,50
5784,Kerala,2009,Others Causes,30-44,56
5785,Kerala,2009,Others Causes,45-59,53
5786,Kerala,2009,Others Causes,60+,29
5787,Kerala,2009,Physical Abuse (Rape/Incest Etc.),15-29,1
5788,Kerala,2009,Pressures of Society,0-14,11
5789,Kerala,2009,Pressures of Society,15-29,45
5790,Kerala,2009,Pressures of Society,30-44,43
5791,Kerala,2009,Pressures of Society,45-59,46
5792,Kerala,2009,Pressures of Society,60+,11
5793,Kerala,2009,Relation Troubles,0-14,29
5794,Kerala,2009,Relation Troubles,15-29,1115
5795,Kerala,2009,Relation Troubles,30-44,1230
5796,Kerala,2009,Relation Troubles,45-59,1020
5797,Kerala,2009,Relation Troubles,60+,486
5798,Kerala,2009,Sickness,0-14,11
5799,Kerala,2009,Sickness,15-29,422
5800,Kerala,2009,Sickness,30-44,733
5801,Kerala,2009,Sickness,45-59,1032
5802,Kerala,2009,Sickness,60+,764
5803,Kerala,2010,Causes Not known,0-14,12
5804,Kerala,2010,Causes Not known,15-29,177
5805,Kerala,2010,Causes Not known,30-44,206
5806,Kerala,2010,Causes Not known,45-59,166
5807,Kerala,2010,Causes Not known,60+,102
5808,Kerala,2010,Drug Abuse/Addiction,15-29,46
5809,Kerala,2010,Drug Abuse/Addiction,30-44,107
5810,Kerala,2010,Drug Abuse/Addiction,45-59,106
5811,Kerala,2010,Drug Abuse/Addiction,60+,30
5812,Kerala,2010,Financial issues,0-14,2
5813,Kerala,2010,Financial issues,15-29,61
5814,Kerala,2010,Financial issues,30-44,207
5815,Kerala,2010,Financial issues,45-59,262
5816,Kerala,2010,Financial issues,60+,61
5817,Kerala,2010,Others Causes,0-14,7
5818,Kerala,2010,Others Causes,15-29,76
5819,Kerala,2010,Others Causes,30-44,106
5820,Kerala,2010,Others Causes,45-59,96
5821,Kerala,2010,Others Causes,60+,59
5822,Kerala,2010,Physical Abuse (Rape/Incest Etc.),15-29,3
5823,Kerala,2010,Physical Abuse (Rape/Incest Etc.),30-44,1
5824,Kerala,2010,Pressures of Society,0-14,18
5825,Kerala,2010,Pressures of Society,15-29,40
5826,Kerala,2010,Pressures of Society,30-44,19
5827,Kerala,2010,Pressures of Society,45-59,29
5828,Kerala,2010,Pressures of Society,60+,4
5829,Kerala,2010,Relation Troubles,0-14,65
5830,Kerala,2010,Relation Troubles,15-29,883
5831,Kerala,2010,Relation Troubles,30-44,1336
5832,Kerala,2010,Relation Troubles,45-59,1165
5833,Kerala,2010,Relation Troubles,60+,516
5834,Kerala,2010,Sickness,0-14,6
5835,Kerala,2010,Sickness,15-29,362
5836,Kerala,2010,Sickness,30-44,617
5837,Kerala,2010,Sickness,45-59,891
5838,Kerala,2010,Sickness,60+,742
5839,Kerala,2011,Causes Not known,0-14,14
5840,Kerala,2011,Causes Not known,15-29,185
5841,Kerala,2011,Causes Not known,30-44,302
5842,Kerala,2011,Causes Not known,45-59,224
5843,Kerala,2011,Causes Not known,60+,109
5844,Kerala,2011,Drug Abuse/Addiction,15-29,33
5845,Kerala,2011,Drug Abuse/Addiction,30-44,80
5846,Kerala,2011,Drug Abuse/Addiction,45-59,94
5847,Kerala,2011,Drug Abuse/Addiction,60+,28
5848,Kerala,2011,Financial issues,0-14,1
5849,Kerala,2011,Financial issues,15-29,43
5850,Kerala,2011,Financial issues,30-44,153
5851,Kerala,2011,Financial issues,45-59,209
5852,Kerala,2011,Financial issues,60+,54
5853,Kerala,2011,Others Causes,0-14,8
5854,Kerala,2011,Others Causes,15-29,89
5855,Kerala,2011,Others Causes,30-44,126
5856,Kerala,2011,Others Causes,45-59,121
5857,Kerala,2011,Others Causes,60+,83
5858,Kerala,2011,Pressures of Society,0-14,7
5859,Kerala,2011,Pressures of Society,15-29,28
5860,Kerala,2011,Pressures of Society,30-44,16
5861,Kerala,2011,Pressures of Society,45-59,25
5862,Kerala,2011,Pressures of Society,60+,2
5863,Kerala,2011,Relation Troubles,0-14,33
5864,Kerala,2011,Relation Troubles,15-29,890
5865,Kerala,2011,Relation Troubles,30-44,1283
5866,Kerala,2011,Relation Troubles,45-59,1254
5867,Kerala,2011,Relation Troubles,60+,607
5868,Kerala,2011,Sickness,0-14,2
5869,Kerala,2011,Sickness,15-29,247
5870,Kerala,2011,Sickness,30-44,600
5871,Kerala,2011,Sickness,45-59,827
5872,Kerala,2011,Sickness,60+,654
5873,Kerala,2012,Causes Not known,0-14,12
